companyName ,sector ,price
"Activision Blizzard, Inc.",Communication Services,12399.60
Alphabet Inc.,Communication Services,374415.10
AT&T Inc.,Communication Services,189434.30
CBS Corporation,Communication Services,38245.40
"CenturyLink, Inc.",Communication Services,18825.60
"Charter Communications, Inc.",Communication Services,0.00
Comcast Corporation,Communication Services,158367.60
"Discovery, Inc.",Communication Services,31310.70
"Discovery, Inc.",Communication Services,31310.70
DISH Network Corporation,Communication Services,26529.90
Electronic Arts Inc.,Communication Services,7091.30
"Facebook, Inc.",Communication Services,138820.10
"Netflix, Inc.",Communication Services,21816.90
News Corporation,Communication Services,10397.50
News Corporation,Communication Services,10397.50
Omnicom Group Inc.,Communication Services,19139.90
"Take-Two Interactive Software, Inc.",Communication Services,1291.70
"The Interpublic Group of Companies, Inc.",Communication Services,7367.50
The Walt Disney Company,Communication Services,134256.20
"TripAdvisor, Inc.",Communication Services,11767.00
"Twenty-First Century Fox, Inc.",Communication Services,79433.50
"Twenty-First Century Fox, Inc.",Communication Services,79433.50
"Twitter, Inc.",Communication Services,34670.00
Verizon Communications Inc.,Communication Services,140540.40
"Viacom, Inc.",Communication Services,38974.00
"Activision Blizzard, Inc.",Communication Services,14488.50
Alphabet Inc.,Communication Services,358536.70
Alphabet Inc.,Communication Services,358536.70
AT&T Inc.,Communication Services,174231.30
CBS Corporation,Communication Services,28714.60
"CenturyLink, Inc.",Communication Services,22588.50
"Charter Communications, Inc.",Communication Services,0.00
Comcast Corporation,Communication Services,173240.60
"Discovery, Inc.",Communication Services,22900.10
"Discovery, Inc.",Communication Services,22900.10
DISH Network Corporation,Communication Services,33639.90
Electronic Arts Inc.,Communication Services,14618.70
"Facebook, Inc.",Communication Services,217507.90
"Netflix, Inc.",Communication Services,20580.80
News Corporation,Communication Services,8990.60
News Corporation,Communication Services,8990.60
Omnicom Group Inc.,Communication Services,19226.50
"Take-Two Interactive Software, Inc.",Communication Services,2268.70
"The Interpublic Group of Companies, Inc.",Communication Services,8686.60
The Walt Disney Company,Communication Services,159719.00
"TripAdvisor, Inc.",Communication Services,10670.70
"Twenty-First Century Fox, Inc.",Communication Services,81596.10
"Twenty-First Century Fox, Inc.",Communication Services,81596.10
"Twitter, Inc.",Communication Services,22425.20
Verizon Communications Inc.,Communication Services,194124.10
"Viacom, Inc.",Communication Services,30900.40
"Activision Blizzard, Inc.",Communication Services,28304.10
Alphabet Inc.,Communication Services,528447.60
Alphabet Inc.,Communication Services,528447.60
AT&T Inc.,Communication Services,211690.30
CBS Corporation,Communication Services,22411.90
"CenturyLink, Inc.",Communication Services,13812.90
"Charter Communications, Inc.",Communication Services,0.00
Comcast Corporation,Communication Services,138022.70
"Discovery, Inc.",Communication Services,16944.90
"Discovery, Inc.",Communication Services,16944.90
DISH Network Corporation,Communication Services,26493.70
Electronic Arts Inc.,Communication Services,21358.70
"Facebook, Inc.",Communication Services,295977.90
"Netflix, Inc.",Communication Services,48884.70
News Corporation,Communication Services,7887.80
