symbol,companyName ,sector ,industryGroup ,industry ,subIndustry ,price,date
NYSE:MMM,3M Company,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,93300.2,Jan 2013
NYSE:AOS,A. O. Smith Corporation,Industrials,Capital Goods,Building Products,Building Products,4920.6,Jan 2013
NYSE:ABT,Abbott Laboratories,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment,59265.3,Jan 2013
NYSE:ABBV,AbbVie Inc.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,83862.3,Jan 2013
NasdaqGS:ABMD,"ABIOMED, Inc.",Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment,1050.4,Jan 2013
NYSE:ACN,Accenture plc,Information Technology,Software and Services,IT Services,IT Consulting and Other Services,52373.3,Jan 2013
NasdaqGS:ATVI,"Activision Blizzard, Inc.",Communication Services,Media and Entertainment,Entertainment,Interactive Home Entertainment,12399.6,Jan 2013
NasdaqGS:ADBE,Adobe Inc.,Information Technology,Software and Services,Software,Application Software,29932.7,Jan 2013
NYSE:AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,8049.5,Jan 2013
NasdaqGS:AMD,"Advanced Micro Devices, Inc.",Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,2800.7,Jan 2013
NYSE:AET,Aetna Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care,25206.8,Jan 2013
NYSE:AMG,"Affiliated Managers Group, Inc.",Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks,11490.1,Jan 2013
NYSE:AFL,Aflac Incorporated,Financials,Insurance,Insurance,Life and Health Insurance,31134.8,Jan 2013
NYSE:A,"Agilent Technologies, Inc.",Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services,Life Sciences Tools and Services,18976.2,Jan 2013
NYSE:APD,"Air Products and Chemicals, Inc.",Materials,Materials,Chemicals,Industrial Gases,23639.9,Jan 2013
NasdaqGS:AKAM,"Akamai Technologies, Inc.",Information Technology,Software and Services,IT Services,Internet Services and Infrastructure,8444.1,Jan 2013
NYSE:ALK,"Alaska Air Group, Inc.",Industrials,Transportation,Airlines,Airlines,5095,Jan 2013
NYSE:ALB,Albemarle Corporation,Materials,Materials,Chemicals,Specialty Chemicals,5159.9,Jan 2013
NYSE:ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs,4557,Jan 2013
NasdaqGS:ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,26055.1,Jan 2013
NasdaqGS:ALGN,"Align Technology, Inc.",Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Supplies,4589.4,Jan 2013
NYSE:ALLE,Allegion plc,Industrials,Capital Goods,Building Products,Building Products,4242.2,Jan 2013
NYSE:AGN,Allergan plc,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,29232,Jan 2013
NYSE:ADS,Alliance Data Systems Corporation,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,12808.1,Jan 2013
NYSE:LNT,Alliant Energy Corporation,Utilities,Utilities,Electric Utilities,Electric Utilities,5724.7,Jan 2013
NasdaqGS:GOOG,Alphabet Inc.,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services,374415.1,Jan 2013
NasdaqGS:GOOG.L,Alphabet Inc.,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services,374415.1,Jan 2013
NYSE:MO,"Altria Group, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,76789.7,Jan 2013
NasdaqGS:AMZN,"Amazon.com, Inc.",Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail,182539.7,Jan 2013
NYSE:AEE,Ameren Corporation,Utilities,Utilities,Multi-Utilities,Multi-Utilities,8773.7,Jan 2013
NasdaqGS:AAL,American Airlines Group Inc.,Industrials,Transportation,Airlines,Airlines,6565,Jan 2013
NYSE:AEP,"American Electric Power Company, Inc.",Utilities,Utilities,Electric Utilities,Electric Utilities,22775.9,Jan 2013
NYSE:AXP,American Express Company,Financials,Diversified Financials,Consumer Finance,Consumer Finance,97196.4,Jan 2013
NYSE:AIG,"American International Group, Inc.",Financials,Insurance,Insurance,Multi-line Insurance,75163.3,Jan 2013
NYSE:AMT,American Tower Corporation (REIT),Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,31500.2,Jan 2013
NYSE:AWK,"American Water Works Company, Inc.",Utilities,Utilities,Water Utilities,Water Utilities,7533.9,Jan 2013
NYSE:AMP,"Ameriprise Financial, Inc.",Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks,22381.9,Jan 2013
NYSE:ABC,AmerisourceBergen Corporation,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Distributors,16173.6,Jan 2013
NYSE:AME,"AMETEK, Inc.",Industrials,Capital Goods,Electrical Equipment,Electrical Components and Equipment,12891.2,Jan 2013
NasdaqGS:AMGN,Amgen Inc.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,86030.7,Jan 2013
NYSE:APH,Amphenol Corporation,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Components,14115.5,Jan 2013
NYSE:APC,Anadarko Petroleum Corporation,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,39919.1,Jan 2013
NasdaqGS:ADI,"Analog Devices, Inc.",Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,15841.5,Jan 2013
NasdaqGS:ANSS,"ANSYS, Inc.",Information Technology,Software and Services,Software,Application Software,8079.9,Jan 2013
NYSE:ANTM,"Anthem, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care,27293.6,Jan 2013
NYSE:AON,Aon plc,Financials,Insurance,Insurance,Insurance Brokers,25254.9,Jan 2013
NYSE:APA,Apache Corporation,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,34310.3,Jan 2013
NYSE:AIV,Apartment Investment and Management Company,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,3780.7,Jan 2013
NasdaqGS:AAPL,Apple Inc.,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals",500739.1,Jan 2013
NasdaqGS:AMAT,"Applied Materials, Inc.",Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductor Equipment,21290,Jan 2013
NYSE:APTV,Aptiv PLC,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment,18503.1,Jan 2013
NYSE:ADM,Archer-Daniels-Midland Company,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Agricultural Products,28555.9,Jan 2013
NYSE:ARNC,Arconic Inc.,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,0,Jan 2013
NYSE:ANET,"Arista Networks, Inc.",Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,0,Jan 2013
NYSE:AJG,Arthur J. Gallagher & Co.,Financials,Insurance,Insurance,Insurance Brokers,6215.3,Jan 2013
NYSE:AIZ,"Assurant, Inc.",Financials,Insurance,Insurance,Multi-line Insurance,4826.2,Jan 2013
NYSE:T,AT&T Inc.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,189434.3,Jan 2013
NasdaqGS:ADSK,"Autodesk, Inc.",Information Technology,Software and Services,Software,Application Software,11352,Jan 2013
NasdaqGS:ADP,"Automatic Data Processing, Inc.",Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,38898.7,Jan 2013
NYSE:AZO,"AutoZone, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,16110.9,Jan 2013
NYSE:AVB,"AvalonBay Communities, Inc.",Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,15300.5,Jan 2013
NYSE:AVY,Avery Dennison Corporation,Materials,Materials,Containers and Packaging,Paper Packaging,4849.1,Jan 2013
NYSE:BHGE,"Baker Hughes, a GE company",Energy,Energy,Energy Equipment and Services,Oil and Gas Equipment and Services,24492.7,Jan 2013
NYSE:BLL,Ball Corporation,Materials,Materials,Containers and Packaging,Metal and Glass Containers,7471.7,Jan 2013
NYSE:BAC,Bank of America Corporation,Financials,Banks,Banks,Diversified Banks,166071.7,Jan 2013
NYSE:BAX,Baxter International Inc.,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment,37744.6,Jan 2013
NYSE:BBT,BB&T Corporation,Financials,Banks,Banks,Regional Banks,26307.8,Jan 2013
NYSE:BDX,"Becton, Dickinson and Company",Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment,21432.5,Jan 2013
NYSE:BRK.B,Berkshire Hathaway Inc.,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings,292396.3,Jan 2013
NYSE:BBY,"Best Buy Co., Inc.",Consumer Discretionary,Retailing,Specialty Retail,Computer and Electronics Retail,13798.8,Jan 2013
