symbol,price,date
BATS:CBOE,4530.80,Jan 2018
BATS:CBOE,5352.60,Jan 2018
BATS:CBOE,5351.30,Jan 2018
BATS:CBOE,6006.20,Jan 2018
BATS:CBOE,14135.70,Jan 2018
BATS:CBOE,11730.90,Jan 2018
NasdaqGS:AAL,6565.00,Jan 2018
NasdaqGS:AAL,38466.80,Jan 2018
NasdaqGS:AAL,26694.30,Jan 2018
NasdaqGS:AAL,24191.30,Jan 2018
NasdaqGS:AAL,24896.30,Jan 2018
NasdaqGS:AAL,14754.70,Jan 2018
NasdaqGS:AAPL,500739.10,Jan 2018
NasdaqGS:AAPL,647361.00,Jan 2018
NasdaqGS:AAPL,586859.30,Jan 2018
NasdaqGS:AAPL,617588.10,Jan 2018
NasdaqGS:AAPL,860882.50,Jan 2018
NasdaqGS:AAPL,1059251.90,Jan 2018
