Company,Sector,MktCap2013,Debt,MktCap2018,Changevs2015,Change,Stake,Latitude,Longitude
3M Company,Industrials,93300.2, ,117234.7,26%,Up,281,44.943722,-93.094276
A. O. Smith Corporation,Industrials,4920.6, ,7708,57%,Up,193,43.151179,-88.052166
Abbott Laboratories,Health Care,59265.3, ,118574.4,100%,Up,109,42.302106,-87.891569
AbbVie Inc.,Health Care,83862.3, ,133210.6,59%,Up,183,42.302106,-87.891569
"ABIOMED, Inc.",Health Care,1050.4,WINNER,16264.4,1448%,Up,1,42.575947,-70.948756
Accenture plc,Information Technology,52373.3, ,101417.6,94%,Up,124,53.33928,-6.281314
"Activision Blizzard, Inc.",Communication Services,12399.6, ,53178,329%,Up,15,34.019784,-118.452553
Adobe Inc.,Information Technology,29932.7, ,119607.4,300%,Up,17,37.330774,-121.894283
"Advance Auto Parts, Inc.",Consumer Discretionary,8049.5, ,12173.6,51%,Up,206,37.278298,-79.959272
"Advanced Micro Devices, Inc.",Information Technology,2800.7,WINNER,23065.5,724%,Up,5,37.382387,-121.977487
Aetna Inc.,Health Care,25206.8, ,65542.2,160%,Up,47,41.766904,-72.692237
"Affiliated Managers Group, Inc.",Financials,11490.1, ,6588.7,-43%,Down,457,26.706696,-80.050148
Aflac Incorporated,Financials,31134.8, ,34144.1,10%,Up,319,32.468021,-84.964317
"Agilent Technologies, Inc.",Health Care,18976.2, ,20551.1,8%,Up,324,37.324986,-121.998705
"Air Products and Chemicals, Inc.",Materials,23639.9, ,34074.9,44%,Up,223,40.589595,-75.512683
"Akamai Technologies, Inc.",Information Technology,8444.1, ,10889,29%,Up,267,42.364267,-71.088941
"Alaska Air Group, Inc.",Industrials,5095, ,7722.2,52%,Up,205,47.673455,-122.331537
Albemarle Corporation,Materials,5159.9, ,10371.1,101%,Up,108,35.154182,-80.838013
"Alexandria Real Estate Equities, Inc.",Real Estate,4557, ,12946.8,184%,Up,33,34.146247,-118.14227
"Alexion Pharmaceuticals, Inc.",Health Care,26055.1, ,28055.7,8%,Up,328,42.35078,-71.044714
"Align Technology, Inc.",Health Care,4589.4, ,25123.3,447%,Up,9,37.39046,-121.935526
Allegion plc,Industrials,4242.2, ,7770.3,83%,Up,137,53.332027,-6.261858
Allergan plc,Health Care,29232, ,64334.9,120%,Up,77,53.4019,-6.218494
Alliance Data Systems Corporation,Information Technology,12808.1, ,11877.7,-7%,Down,377,33.080973,-96.82359
Alliant Energy Corporation,Utilities,5724.7, ,10482.7,83%,Up,138,43.150821,-89.296218
Alphabet Inc.,Communication Services,374415.1, ,765798.2,105%,Up,102,37.422393,-122.084198
"Altria Group, Inc.",Consumer Staples,76789.7, ,116786.3,52%,Up,202,37.55089,-77.450591
"Amazon.com, Inc.",Consumer Discretionary,182539.7, ,860390.1,371%,Up,11,47.622283,-122.336533
Ameren Corporation,Utilities,8773.7, ,16118.8,84%,Up,136,38.635957,-90.239861
American Airlines Group Inc.,Industrials,6565, ,14754.7,125%,Up,67,32.826247,-97.050692
"American Electric Power Company, Inc.",Utilities,22775.9, ,36112.3,59%,Up,185,39.964986,-83.005511
American Express Company,Financials,97196.4, ,91147.4,-6%,Down,374,40.713912,-74.014694
"American International Group, Inc.",Financials,75163.3, ,41934.7,-44%,Down,461,40.706375,-74.005148
American Tower Corporation (REIT),Real Estate,31500.2, ,66191.4,110%,Up,95,42.346527,-71.079761
"American Water Works Company, Inc.",Utilities,7533.9, ,16594.5,120%,Up,75,39.845488,-74.974165
"Ameriprise Financial, Inc.",Financials,22381.9, ,19273.6,-14%,Down,396,44.975073,-93.269071
AmerisourceBergen Corporation,Health Care,16173.6, ,20077.9,24%,Up,284,40.068528,-75.468332
"AMETEK, Inc.",Industrials,12891.2, ,16374.3,27%,Up,274,40.041377,-75.438889
Amgen Inc.,Health Care,86030.7, ,130619.5,52%,Up,204,34.175961,-118.945108
Amphenol Corporation,Information Technology,14115.5, ,24920.3,77%,Up,152,41.460148,-72.833323
Anadarko Petroleum Corporation,Energy,39919.1, ,33797,-15%,Down,402,30.182129,-95.520448
"Analog Devices, Inc.",Information Technology,15841.5, ,30601.4,93%,Up,125,42.210478,-71.180554
"ANSYS, Inc.",Information Technology,8079.9, ,12693.6,57%,Up,192,40.259666,-80.186882
"Anthem, Inc.",Health Care,27293.6, ,72566.1,166%,Up,43,39.769135,-86.158799
Aon plc,Financials,25254.9, ,36665.2,45%,Up,220,52.418788,-1.247349
Apache Corporation,Energy,34310.3, ,16102.7,-53%,Down,471,29.744644,-95.462685
Apartment Investment and Management Company,Real Estate,3780.7, ,6802.3,80%,Up,144,39.633278,-104.898987
Apple Inc.,Information Technology,500739.1, ,1059251.9,112%,Up,88,37.331643,-122.030165
"Applied Materials, Inc.",Information Technology,21290, ,33706.7,58%,Up,187,37.377631,-121.978512
Aptiv PLC,Consumer Discretionary,18503.1, ,19667.4,6%,Up,333,53.078731,-7.798618
Archer-Daniels-Midland Company,Consumer Staples,28555.9, ,27729.4,-3%,Down,363,41.886511,-87.630536
Arthur J. Gallagher & Co.,Financials,6215.3, ,13270.4,114%,Up,86,42.053633,-88.016879
"Assurant, Inc.",Financials,4826.2, ,6634.4,37%,Up,239,40.707965,-74.008891
AT&T Inc.,Communication Services,189434.3, ,238701.9,26%,Up,280,32.779574,-96.798831
"Autodesk, Inc.",Information Technology,11352, ,29115.4,156%,Up,51,38.00547,-122.530693
"Automatic Data Processing, Inc.",Information Technology,38898.7, ,62733.2,61%,Up,176,40.821737,-74.310147
"AutoZone, Inc.",Consumer Discretionary,16110.9, ,18683.5,16%,Up,303,35.142049,-90.056056
"AvalonBay Communities, Inc.",Real Estate,15300.5, ,24598.8,61%,Up,179,38.878678,-77.111304
Avery Dennison Corporation,Materials,4849.1, ,8530.3,76%,Up,155,34.156763,-118.257858
"Baker Hughes, a GE company",Energy,24492.7, ,12324.8,-50%,Down,468,29.961185,-95.361015
Ball Corporation,Materials,7471.7, ,15795.9,111%,Up,89,39.911656,-105.099983
Bank of America Corporation,Financials,166071.7, ,279185.6,68%,Up,166,35.227403,-80.842261
Baxter International Inc.,Health Care,37744.6, ,37110.1,-2%,Down,356,42.165446,-87.850427
BB&T Corporation,Financials,26307.8, ,37698.7,43%,Up,227,36.095947,-80.245062
"Becton, Dickinson and Company",Health Care,21432.5, ,63704.2,197%,Up,30,41.008467,-74.208791
Berkshire Hathaway Inc.,Financials,292396.3, ,521060.4,78%,Up,147,41.25743,-95.965771
"Best Buy Co., Inc.",Consumer Discretionary,13798.8, ,19435.9,41%,Up,232,44.863927,-93.305441
Biogen Inc.,Health Care,66038.5, ,64544.3,-2%,Down,359,42.366422,-71.085538
"BlackRock, Inc.",Financials,53554.7, ,64185.4,20%,Up,293,40.659844,-73.928997
Booking Holdings Inc.,Consumer Discretionary,59779.9, ,85722.1,43%,Up,225,41.092678,-73.454276
