Date,Price
12/31/2013,1848.40
1/2/2014,1832.00
1/3/2014,1831.40
1/6/2014,1826.80
1/7/2014,1837.90
1/8/2014,1837.50
1/9/2014,1838.10
1/10/2014,1842.40
1/13/2014,1819.20
1/14/2014,1838.90
1/15/2014,1848.40
1/16/2014,1845.90
1/17/2014,1838.70
1/21/2014,1843.80
1/22/2014,1844.90
1/23/2014,1828.50
1/24/2014,1790.30
1/27/2014,1781.60
1/28/2014,1792.50
1/29/2014,1774.20
1/30/2014,1794.20
1/31/2014,1782.60
2/3/2014,1741.90
2/4/2014,1755.20
2/5/2014,1751.60
2/6/2014,1773.40
2/7/2014,1797.00
2/10/2014,1799.80
2/11/2014,1819.70
2/12/2014,1819.30
2/13/2014,1829.80
2/14/2014,1838.60
2/18/2014,1840.80
2/19/2014,1828.70
2/20/2014,1839.80
2/21/2014,1836.20
2/24/2014,1847.60
2/25/2014,1845.10
2/26/2014,1845.20
2/27/2014,1854.30
2/28/2014,1859.40
3/3/2014,1845.70
3/4/2014,1873.90
3/5/2014,1873.80
3/6/2014,1877.00
3/7/2014,1878.00
3/10/2014,1877.20
3/11/2014,1867.60
3/12/2014,1868.20
3/13/2014,1846.30
3/14/2014,1841.10
3/17/2014,1858.80
3/18/2014,1872.30
3/19/2014,1860.80
3/20/2014,1872.00
3/21/2014,1866.50
3/24/2014,1857.40
3/25/2014,1865.60
3/26/2014,1852.60
3/27/2014,1849.00
3/28/2014,1857.60
3/31/2014,1872.30
4/1/2014,1885.50
4/2/2014,1890.90
4/3/2014,1888.80
4/4/2014,1865.10
4/7/2014,1845.00
4/8/2014,1852.00
4/9/2014,1872.20
4/10/2014,1833.10
4/11/2014,1815.70
4/14/2014,1830.60
4/15/2014,1843.00
4/16/2014,1862.30
4/17/2014,1864.90
4/21/2014,1871.90
4/22/2014,1879.60
4/23/2014,1875.40
4/24/2014,1878.60
4/25/2014,1863.40
4/28/2014,1869.40
4/29/2014,1878.30
4/30/2014,1884.00
5/1/2014,1883.70
5/2/2014,1881.10
